type,yahoo_symbol,trading212_symbol,benchmark_index,currency,sector,sub_industry,region,size,source,enabled
ticker,APP,APP,^GSPC,,Information Technology,Application Software,US,Mega/Large,LargeCap,Y
ticker,CDNS,CDNS,^GSPC,,Information Technology,Application Software,US,Mega/Large,LargeCap,Y
ticker,CHKP,CHKP,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,CTSH,CTSH,^GSPC,,Information Technology,IT Consulting & Other Services,US,Mega/Large,LargeCap,Y
ticker,DOCU,DOCU,^GSPC,,Information Technology,Application Software,US,Mega/Large,LargeCap,Y
ticker,FRSH,FRSH,^GSPC,,,,US,Mega/Large,LargeCap,Y
ticker,GTLB,GTLB,^GSPC,,,,US,Mega/Large,LargeCap,Y
ticker,HUBS,HUBS,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,QLYS,QLYS,^GSPC,,Information Technology,Systems Software,US,Mega/Large,LargeCap,Y
ticker,RPD,RPD,^GSPC,,,,US,Mega/Large,LargeCap,Y
ticker,TEAM,TEAM,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,TENB,TENB,^GSPC,,,,US,Mega/Large,LargeCap,Y
ticker,VEEV,VEEV,^GSPC,,Health Care,Health Care Technology,US,Mega/Large,LargeCap,Y
ticker,WDAY,WDAY,^GSPC,,Information Technology,Application Software,US,Mega/Large,LargeCap,Y
ticker,ZM,ZM,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,AMAT,AMAT,^GSPC,,Information Technology,Semiconductor Materials & Equipment,US,Mega/Large,LargeCap,Y
ticker,ASML,ASML,^GSPC,,Information Technology,Technology,US,All,curated,Y
ticker,LRCX,LRCX,^GSPC,,Information Technology,Semiconductor Materials & Equipment,US,Mega/Large,LargeCap,Y
ticker,KLAC,KLAC,^GSPC,,Information Technology,Semiconductor Materials & Equipment,US,Mega/Large,LargeCap,Y
ticker,MCHP,MCHP,^GSPC,,Information Technology,Semiconductors,US,Mega/Large,LargeCap,Y
ticker,MPWR,MPWR,^GSPC,,Information Technology,Semiconductors,US,Mega/Large,LargeCap,Y
ticker,MRVL,MRVL,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,NXPI,NXPI,^GSPC,,Information Technology,Semiconductors,US,Mega/Large,LargeCap,Y
ticker,ON,ON,^GSPC,,Information Technology,Semiconductors,US,Mega/Large,LargeCap,Y
ticker,QRVO,QRVO,^GSPC,,Information Technology,Semiconductors,US,Mega/Large,LargeCap,Y
ticker,SWKS,SWKS,^GSPC,,Information Technology,Semiconductors,US,Mega/Large,LargeCap,Y
ticker,TXN,TXN,^GSPC,,Information Technology,Semiconductors,US,Mega/Large,LargeCap,Y
ticker,WOLF,WOLF,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,ADSK,ADSK,^GSPC,,Information Technology,Application Software,US,Mega/Large,LargeCap,Y
ticker,FROG,FROG,^GSPC,,,,US,Mega/Large,LargeCap,Y
ticker,EBAY,EBAY,^GSPC,,Consumer Discretionary,Broadline Retail,US,Mega/Large,LargeCap,Y
ticker,ETSY,ETSY,^GSPC,,Consumer Discretionary,Broadline Retail,US,Mega/Large,LargeCap,Y
ticker,MELI,MELI,^GSPC,,Consumer Discretionary,,US,Mega/Large,LargeCap,Y
ticker,SHOP,SHOP,^GSPC,,Consumer Discretionary,,US,Mega/Large,LargeCap,Y
ticker,BBY,BBY,^GSPC,,Consumer Discretionary,Computer & Electronics Retail,US,Mega/Large,LargeCap,Y
ticker,DKS,DKS,^GSPC,,Consumer Discretionary,Specialty Stores,US,Mega/Large,LargeCap,Y
ticker,ULTA,ULTA,^GSPC,,Consumer Discretionary,Other Specialty Retail,US,Mega/Large,LargeCap,Y
ticker,ALLY,ALLY,^GSPC,,Financials,Consumer Finance,US,Mega/Large,LargeCap,Y
ticker,BEN,BEN,^GSPC,,Financials,Asset Management & Custody Banks,US,Large,Dividend,Y
ticker,CBOE,CBOE,^GSPC,,Financials,Financial Exchanges & Data,US,Mega/Large,LargeCap,Y
ticker,CME,CME,^GSPC,,Financials,Financial Exchanges & Data,US,Mega/Large,LargeCap,Y
ticker,COIN,COIN,^GSPC,,Financials,Financial Exchanges & Data,US,Mega/Large,LargeCap,Y
ticker,FDS,FDS,^GSPC,,Financials,Financial Exchanges & Data,US,Large,Dividend,Y
